"tweet_id","topic_id","probability","assigned_at"
"1345664723526811648","73","0.0","2026-05-04T10:24:25.877157+00:00"
"1345673045130752000","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1345674181665546246","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1345675828911333376","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1345683286442573825","124","0.0","2026-05-04T10:24:25.877157+00:00"
"1345689466418167809","105","0.0","2026-05-04T10:24:25.877157+00:00"
"1345716475965923330","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1345727734597775373","-1","0.0","2026-05-04T10:24:25.877157+00:00"
"1345728481578151938","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1345733969954951168","79","0.0","2026-05-04T10:24:25.877157+00:00"
"1345734416023384064","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1345757374959779841","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1345759479921586177","110","0.0","2026-05-04T10:24:25.877157+00:00"
"1345769664094351367","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1345784826536800256","16","0.0","2026-05-04T10:24:25.877157+00:00"
"1345817944434110465","16","0.0","2026-05-04T10:24:25.877157+00:00"
"1345847386095181825","46","0.0","2026-05-04T10:24:25.877157+00:00"
"1345898168035254272","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1345906377517101057","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1345909702283186177","88","0.0","2026-05-04T10:24:25.877157+00:00"
"1345943502283280385","78","0.0","2026-05-04T10:24:25.877157+00:00"
"1345944177624948738","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1345960181830733826","198","0.0","2026-05-04T10:24:25.877157+00:00"
"1345965645758951424","52","0.0","2026-05-04T10:24:25.877157+00:00"
"1345969414433366016","95","0.0","2026-05-04T10:24:25.877157+00:00"
"1345972550044708866","14","0.0","2026-05-04T10:24:25.877157+00:00"
"1345972880857829376","52","0.0","2026-05-04T10:24:25.877157+00:00"
"1345973313290596352","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1345973514973679616","178","0.0","2026-05-04T10:24:25.877157+00:00"
"1345974478673760258","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1345974701676519424","14","0.0","2026-05-04T10:24:25.877157+00:00"
"1345975134771933184","53","0.0","2026-05-04T10:24:25.877157+00:00"
"1345977146620186624","187","0.0","2026-05-04T10:24:25.877157+00:00"
"1345977765925965824","2","0.0","2026-05-04T10:24:25.877157+00:00"
